GivenName,Surname,TelephoneNumber,CompanyName,EmployeeId,UsageLocation,City,Country,Department,JobTitle
Erwin,Schrödinger,+438151933,Contoso,hr30,AT,Vienna,Austria,Theoretical Physics,Senior Professor
Albert,Einstein,+498151921,Contoso,hr24,DE,Ulm,Germany,Theoretical Physics,Senior Professor
François,Englert,+328152013,Contoso,hr27,BE,Etterbeek,Belgium,Theoretical Physics,Senior Professor
Max,Planck,+498151918,Contoso,hr25,DE,Kiel,Germany,Theoretical Physics,Senior Professor
Peter,Higgs,+448152013,Contoso,hr26,GB,Newcastle,UK,Theoretical Physics,Senior Professor
Niels,Bohr,+458151922,Contoso,hr28,DK,Copenhagen,Denmark,Theoretical Physics,Senior Professor
Johannes,Stark,+498151919,Contoso,hr29,DE,Göttingen,Germany,Experimental Physics,Senior Professor
Paul,Dirac,+448151933,Contoso,hr31,GB,Bristol,UK,Theoretical Physics,Senior Professor
Enrico,Fermi,+398151938,Contoso,hr32,IT,Rome,Italy,Theoretical Physics,Senior Professor
Wolfgang,Pauli,+438151945,Contoso,hr33,AT,Vienna,Austria,Theoretical Physics,Senior Professor
Max,Born,+498151954,Contoso,hr34,DE,Göttingen,Germany,Theoretical Physics,Senior Professor
William,Shockley,+18151956,Contoso,hr35,US,Stanford,United States,Solid State Physics,Senior Professor
John,Bardeen,+181519561972,Contoso,hr36,US,Princeton,United States,Solid State Physics,Senior Professor
Walter,Brattain,+18151956,Contoso,hr37,US,Seattle,United States,Solid State Physics,Senior Professor
Lev,Landau,+78151962,Contoso,hr38,RU,St. Petersburg,Russia,Theoretical Physics,Senior Professor
Eugene,Wigner,+18151963,Contoso,hr40,US,Princeton,United States,Theoretical Physics,Senior Professor
Julian,Schwinger,+18151965,Contoso,hr41,US,New York City,United States,Theoretical Physics,Senior Professor
Hans,Bethe,+498151967,Contoso,hr42,DE,Straßbourg,Germany,Theoretical Physics,Senior Professor
Murray,Gell-Mann,+18151969,Contoso,hr43,US,Chicago,United States,Theoretical Physics,Senior Professor
Sheldon,Glashow,+18151979,Contoso,hr44,US,New York City,United States,Theoretical Physics,Senior Professor
Abdus,Salam,+928151979,Contoso,hr45,PK,Jhang,Pakistan,Theoretical Physics,Senior Professor
Steven,Weinberg,+18151979,Contoso,hr46,US,New York City,United States,Theoretical Physics,Senior Professor
Richard,Feynman,+18151965,Contoso,hr47,US,Pasadena,United States,Theoretical Physics,Senior Professor
Ernst,Mach,+4381500,Contoso,hr48,AT,Vienna,Austria,Theoretical Physics,Senior Professor
